AM: 	Purity of Will
Axe: 	One Man Army
Bane: 	Essence of Fear
BS: 	Bloodbath
CM: 	Frozen Arts
Drow: 	Pride of the Drow
ES: 	Down to Earth
Jugger: Bushido
Potm:	For Selemene
SF:	Soul Eater
Morph:	Reign of Tides
PL:	Phantom Edge
Puck:	Dream transformation
Pudge:	Fresh Meat
Razor: 	Path of Least Resistence
Sk:	Desert's Wrath
Storm:	Stormy Weather
Sven:	Pursuit of Honor
Tiny:	Rock-solid design
Venge:	Road of Revenge
WR:	Easy Breezy
Zeus:	On Cloud Nine
Kunkka:	Drunken Sailer
Lina:	Heat Wave
Lich:	Biting Cold
Lion:	Devil's Advocate
Rhasta:	Ancestral Worship
Sladar:	Guardian of the Deeps
Tide:	Uncharted Waters
Wd:	Black Magic	

Riki:	Invisible Talent
Enigma:	Riddle of Life
Tinker:	Think Tank
Sniper:	6.83 PTSD
Necro:	Pope of Pestilence
WL:	Black Grimoire		
BM:	Unleash the Beast
QoP:	Safe Word
Veno:	Concentrated Toxins
Void:	Illusion of Time
WK:	COMMANDING PRESENCE
DP:	Last Will
PA:	Sisters of the Veil
Pugna:	Arts of Oblivion
TA:	Veil of Ignorance
Viper:	Toxic Environment
Luna:	Blood Moon	
DK:	Dragon unleashed
Dazzle:	Rite of Shades
Clock:	Overclocking
Lesh:	Eternal Torment	
NP:	Spring Blossoms
Naix:	Breaker of Chains
Ds:	Universal Power
Clinkz:	Burnout
Omni:	Omniscience
Ench:	Charming Smile
Husk:	Ultimate Sacrifice
NS:	Light Nihilation
Brood:	Spider Senses
Bh:	Dead or Alive!
Weaver:	New Patterns
Jakiro:	Fire-Ice Duality
Bat:	Pyromania
Chen: Obelis Guidance
Spec:	Doppler Effect
AA:		Ice Age
Doom:	Doomsday
Ursa:	Fuzzy Wuzzy
Sb:	Bulldoze














